"media_id"	"deploymentID"	"captureMethod"	"timestamp"	"filePath"	"filePublic"	"fileName"	"fileMediatype"
338245	TH-J-4839	automatic interval exposure	2025-08-17 00:43:00.000	https://lepmon.de/annot8/media/338245	Y	Lepmon#SN010019_TH_J_2025-08-17_T_0043.jpg	image
338247	TH-J-4839	automatic interval exposure	2025-08-17 00:45:00.000	https://lepmon.de/annot8/media/338247	Y	Lepmon#SN010019_TH_J_2025-08-17_T_0045.jpg	image
338248	TH-J-4839	automatic interval exposure	2025-08-17 00:47:00.000	https://lepmon.de/annot8/media/338248	Y	Lepmon#SN010019_TH_J_2025-08-17_T_0047.jpg	image
338249	TH-J-4839	automatic interval exposure	2025-08-17 00:49:00.000	https://lepmon.de/annot8/media/338249	Y	Lepmon#SN010019_TH_J_2025-08-17_T_0049.jpg	image
338251	TH-J-4839	automatic interval exposure	2025-08-17 00:51:00.000	https://lepmon.de/annot8/media/338251	Y	Lepmon#SN010019_TH_J_2025-08-17_T_0051.jpg	image
338252	TH-J-4839	automatic interval exposure	2025-08-17 00:53:00.000	https://lepmon.de/annot8/media/338252	Y	Lepmon#SN010019_TH_J_2025-08-17_T_0053.jpg	image
338253	TH-J-4839	automatic interval exposure	2025-08-17 00:55:00.000	https://lepmon.de/annot8/media/338253	Y	Lepmon#SN010019_TH_J_2025-08-17_T_0055.jpg	image
338255	TH-J-4839	automatic interval exposure	2025-08-17 00:57:00.000	https://lepmon.de/annot8/media/338255	Y	Lepmon#SN010019_TH_J_2025-08-17_T_0057.jpg	image
338256	TH-J-4839	automatic interval exposure	2025-08-17 00:59:00.000	https://lepmon.de/annot8/media/338256	Y	Lepmon#SN010019_TH_J_2025-08-17_T_0059.jpg	image
338258	TH-J-4839	automatic interval exposure	2025-08-17 01:01:00.000	https://lepmon.de/annot8/media/338258	Y	Lepmon#SN010019_TH_J_2025-08-17_T_0101.jpg	image
338259	TH-J-4839	automatic interval exposure	2025-08-17 01:03:00.000	https://lepmon.de/annot8/media/338259	Y	Lepmon#SN010019_TH_J_2025-08-17_T_0103.jpg	image
338260	TH-J-4839	automatic interval exposure	2025-08-17 01:05:00.000	https://lepmon.de/annot8/media/338260	Y	Lepmon#SN010019_TH_J_2025-08-17_T_0105.jpg	image
338262	TH-J-4839	automatic interval exposure	2025-08-17 01:07:00.000	https://lepmon.de/annot8/media/338262	Y	Lepmon#SN010019_TH_J_2025-08-17_T_0107.jpg	image
338263	TH-J-4839	automatic interval exposure	2025-08-17 01:09:00.000	https://lepmon.de/annot8/media/338263	Y	Lepmon#SN010019_TH_J_2025-08-17_T_0109.jpg	image
338264	TH-J-4839	automatic interval exposure	2025-08-17 01:11:00.000	https://lepmon.de/annot8/media/338264	Y	Lepmon#SN010019_TH_J_2025-08-17_T_0111.jpg	image
338266	TH-J-4839	automatic interval exposure	2025-08-17 01:13:00.000	https://lepmon.de/annot8/media/338266	Y	Lepmon#SN010019_TH_J_2025-08-17_T_0113.jpg	image
338267	TH-J-4839	automatic interval exposure	2025-08-17 01:15:00.000	https://lepmon.de/annot8/media/338267	Y	Lepmon#SN010019_TH_J_2025-08-17_T_0115.jpg	image
338273	TH-J-4839	automatic interval exposure	2025-08-17 01:17:00.000	https://lepmon.de/annot8/media/338273	Y	Lepmon#SN010019_TH_J_2025-08-17_T_0117.jpg	image
338274	TH-J-4839	automatic interval exposure	2025-08-17 01:19:00.000	https://lepmon.de/annot8/media/338274	Y	Lepmon#SN010019_TH_J_2025-08-17_T_0119.jpg	image
338275	TH-J-4839	automatic interval exposure	2025-08-17 01:21:00.000	https://lepmon.de/annot8/media/338275	Y	Lepmon#SN010019_TH_J_2025-08-17_T_0121.jpg	image
338279	TH-J-4839	automatic interval exposure	2025-08-17 01:23:00.000	https://lepmon.de/annot8/media/338279	Y	Lepmon#SN010019_TH_J_2025-08-17_T_0123.jpg	image
338280	TH-J-4839	automatic interval exposure	2025-08-17 01:25:00.000	https://lepmon.de/annot8/media/338280	Y	Lepmon#SN010019_TH_J_2025-08-17_T_0125.jpg	image
338281	TH-J-4839	automatic interval exposure	2025-08-17 01:27:00.000	https://lepmon.de/annot8/media/338281	Y	Lepmon#SN010019_TH_J_2025-08-17_T_0127.jpg	image
338283	TH-J-4839	automatic interval exposure	2025-08-17 01:29:00.000	https://lepmon.de/annot8/media/338283	Y	Lepmon#SN010019_TH_J_2025-08-17_T_0129.jpg	image
338284	TH-J-4839	automatic interval exposure	2025-08-17 01:31:00.000	https://lepmon.de/annot8/media/338284	Y	Lepmon#SN010019_TH_J_2025-08-17_T_0131.jpg	image
338286	TH-J-4839	automatic interval exposure	2025-08-17 01:33:00.000	https://lepmon.de/annot8/media/338286	Y	Lepmon#SN010019_TH_J_2025-08-17_T_0133.jpg	image
338287	TH-J-4839	automatic interval exposure	2025-08-17 01:35:00.000	https://lepmon.de/annot8/media/338287	Y	Lepmon#SN010019_TH_J_2025-08-17_T_0135.jpg	image
338288	TH-J-4839	automatic interval exposure	2025-08-17 01:37:00.000	https://lepmon.de/annot8/media/338288	Y	Lepmon#SN010019_TH_J_2025-08-17_T_0137.jpg	image
338290	TH-J-4839	automatic interval exposure	2025-08-17 01:39:00.000	https://lepmon.de/annot8/media/338290	Y	Lepmon#SN010019_TH_J_2025-08-17_T_0139.jpg	image
338291	TH-J-4839	automatic interval exposure	2025-08-17 01:41:00.000	https://lepmon.de/annot8/media/338291	Y	Lepmon#SN010019_TH_J_2025-08-17_T_0141.jpg	image
338292	TH-J-4839	automatic interval exposure	2025-08-17 01:43:00.000	https://lepmon.de/annot8/media/338292	Y	Lepmon#SN010019_TH_J_2025-08-17_T_0143.jpg	image
338294	TH-J-4839	automatic interval exposure	2025-08-17 01:45:00.000	https://lepmon.de/annot8/media/338294	Y	Lepmon#SN010019_TH_J_2025-08-17_T_0145.jpg	image
338295	TH-J-4839	automatic interval exposure	2025-08-17 01:47:00.000	https://lepmon.de/annot8/media/338295	Y	Lepmon#SN010019_TH_J_2025-08-17_T_0147.jpg	image
338297	TH-J-4839	automatic interval exposure	2025-08-17 01:49:00.000	https://lepmon.de/annot8/media/338297	Y	Lepmon#SN010019_TH_J_2025-08-17_T_0149.jpg	image
338298	TH-J-4839	automatic interval exposure	2025-08-17 01:51:00.000	https://lepmon.de/annot8/media/338298	Y	Lepmon#SN010019_TH_J_2025-08-17_T_0151.jpg	image
338299	TH-J-4839	automatic interval exposure	2025-08-17 01:53:00.000	https://lepmon.de/annot8/media/338299	Y	Lepmon#SN010019_TH_J_2025-08-17_T_0153.jpg	image
338301	TH-J-4839	automatic interval exposure	2025-08-17 01:55:00.000	https://lepmon.de/annot8/media/338301	Y	Lepmon#SN010019_TH_J_2025-08-17_T_0155.jpg	image
338302	TH-J-4839	automatic interval exposure	2025-08-17 01:57:00.000	https://lepmon.de/annot8/media/338302	Y	Lepmon#SN010019_TH_J_2025-08-17_T_0157.jpg	image
338304	TH-J-4839	automatic interval exposure	2025-08-17 01:59:00.000	https://lepmon.de/annot8/media/338304	Y	Lepmon#SN010019_TH_J_2025-08-17_T_0159.jpg	image
338305	TH-J-4839	automatic interval exposure	2025-08-17 02:01:00.000	https://lepmon.de/annot8/media/338305	Y	Lepmon#SN010019_TH_J_2025-08-17_T_0201.jpg	image
338306	TH-J-4839	automatic interval exposure	2025-08-17 02:03:00.000	https://lepmon.de/annot8/media/338306	Y	Lepmon#SN010019_TH_J_2025-08-17_T_0203.jpg	image
338309	TH-J-4839	automatic interval exposure	2025-08-17 02:05:00.000	https://lepmon.de/annot8/media/338309	Y	Lepmon#SN010019_TH_J_2025-08-17_T_0205.jpg	image
338310	TH-J-4839	automatic interval exposure	2025-08-17 02:07:00.000	https://lepmon.de/annot8/media/338310	Y	Lepmon#SN010019_TH_J_2025-08-17_T_0207.jpg	image
338312	TH-J-4839	automatic interval exposure	2025-08-17 02:09:00.000	https://lepmon.de/annot8/media/338312	Y	Lepmon#SN010019_TH_J_2025-08-17_T_0209.jpg	image
338313	TH-J-4839	automatic interval exposure	2025-08-17 02:11:00.000	https://lepmon.de/annot8/media/338313	Y	Lepmon#SN010019_TH_J_2025-08-17_T_0211.jpg	image
338315	TH-J-4839	automatic interval exposure	2025-08-17 02:13:00.000	https://lepmon.de/annot8/media/338315	Y	Lepmon#SN010019_TH_J_2025-08-17_T_0213.jpg	image
338316	TH-J-4839	automatic interval exposure	2025-08-17 02:15:00.000	https://lepmon.de/annot8/media/338316	Y	Lepmon#SN010019_TH_J_2025-08-17_T_0215.jpg	image
338317	TH-J-4839	automatic interval exposure	2025-08-17 02:17:00.000	https://lepmon.de/annot8/media/338317	Y	Lepmon#SN010019_TH_J_2025-08-17_T_0217.jpg	image
338319	TH-J-4839	automatic interval exposure	2025-08-17 02:19:00.000	https://lepmon.de/annot8/media/338319	Y	Lepmon#SN010019_TH_J_2025-08-17_T_0219.jpg	image
338320	TH-J-4839	automatic interval exposure	2025-08-17 02:21:00.000	https://lepmon.de/annot8/media/338320	Y	Lepmon#SN010019_TH_J_2025-08-17_T_0221.jpg	image
338321	TH-J-4839	automatic interval exposure	2025-08-17 02:23:00.000	https://lepmon.de/annot8/media/338321	Y	Lepmon#SN010019_TH_J_2025-08-17_T_0223.jpg	image
